
  81.464    3.000
  72.661    3.150     
  72.344    3.085    
  90.743    5.225    
  98.588    5.350   
  96.507    6.090   
 126.574    8.925   
 114.133    9.015  
 115.814    8.885  
 123.181    8.950
 131.434    9.000   
 140.564   11.345   
 151.352   12.275   
 146.926   12.400  
 130.963   12.525
 144.630   12.310   
 147.041   13.700   
 179.021   15.000   
 166.200   15.175  
 180.732   14.995
 178.187   15.050   
 185.304   15.200   
 155.931   15.150   
 172.579   16.800  
 188.851   16.500
 192.424   17.830   
 203.112   19.500    
 192.482   19.200   
 218.715   19.000   
 214.317   19.350
